MAG,clean_MAG
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_11_modified,MAG_2
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_12_modified,MAG_3
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_14_modified,MAG_4
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_15_modified,MAG_5
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_16_modified,MAG_6
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_18_modified,MAG_7
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_19_modified,MAG_8
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_20_modified,MAG_9
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_22_modified,MAG_10
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_24_modified,MAG_11
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_25_modified,MAG_12
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_26_modified,MAG_13
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_27_modified,MAG_14
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_28_modified,MAG_15
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_2_modified,MAG_16
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_30_modified,MAG_17
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_31_modified,MAG_18
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_32_modified,MAG_19
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_33_modified,MAG_20
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_34_modified,MAG_21
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_35_modified,MAG_22
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_38_modified,MAG_23
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_39_modified,MAG_24
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_3_modified,MAG_25
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_40_modified,MAG_26
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_41_modified,MAG_27
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_42_modified,MAG_28
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_43_modified,MAG_29
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_44_modified,MAG_30
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_46_modified,MAG_31
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_47_modified,MAG_32
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_48_modified,MAG_33
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_49_modified,MAG_34
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_50_modified,MAG_35
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_52_modified,MAG_36
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_53_modified,MAG_37
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_55_modified,MAG_38
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_56_modified,MAG_39
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_58_modified,MAG_40
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_59_modified,MAG_41
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_5_modified,MAG_42
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_63_modified,MAG_43
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_6_modified,MAG_44
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_72_modified,MAG_45
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_7_modified,MAG_46
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_86_modified,MAG_47
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_8_modified,MAG_48
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_93_modified,MAG_49
raw-080813-7-mc_bin_7_modified,MAG_50
raw-080813-7-mc_bin_9_modified,MAG_51
raw-080813-7-mc_raw-080813-7-mc_bin_10_modified,MAG_52
raw-080813-7-mc_raw-080813-7-mc_bin_11_modified,MAG_53
raw-080813-7-mc_raw-080813-7-mc_bin_12_modified,MAG_54
raw-080813-7-mc_raw-080813-7-mc_bin_13_modified,MAG_55
raw-080813-7-mc_raw-080813-7-mc_bin_17_modified,MAG_56
raw-080813-7-mc_raw-080813-7-mc_bin_18_modified,MAG_57
raw-080813-7-mc_raw-080813-7-mc_bin_24_modified,MAG_58
raw-080813-7-mc_raw-080813-7-mc_bin_25_modified,MAG_59
raw-080813-7-mc_raw-080813-7-mc_bin_26_modified,MAG_60
raw-080813-7-mc_raw-080813-7-mc_bin_27_modified,MAG_61
raw-080813-7-mc_raw-080813-7-mc_bin_30_modified,MAG_62
raw-080913-2_bin_100_modified,MAG_63
raw-080913-2_bin_103_modified,MAG_64
raw-080913-2_bin_105_modified,MAG_65
raw-080913-2_bin_106_modified,MAG_66
raw-080913-2_bin_107_modified,MAG_67
raw-080913-2_bin_108_modified,MAG_68
raw-080913-2_bin_109_modified,MAG_69
raw-080913-2_bin_111_modified,MAG_70
raw-080913-2_bin_113_modified,MAG_71
raw-080913-2_bin_115_modified,MAG_72
raw-080913-2_bin_116_modified,MAG_73
raw-080913-2_bin_117_modified,MAG_74
raw-080913-2_bin_119_modified,MAG_75
raw-080913-2_bin_122_modified,MAG_76
raw-080913-2_bin_123_modified,MAG_77
raw-080913-2_bin_127_modified,MAG_78
raw-080913-2_bin_128_modified,MAG_79
raw-080913-2_bin_12_modified,MAG_80
raw-080913-2_bin_130_modified,MAG_81
raw-080913-2_bin_137_modified,MAG_82
raw-080913-2_bin_138_modified,MAG_83
raw-080913-2_bin_152_modified,MAG_84
raw-080913-2_bin_15_modified,MAG_85
raw-080913-2_bin_18_modified,MAG_86
raw-080913-2_bin_191_modified,MAG_87
raw-080913-2_bin_20_modified,MAG_88
raw-080913-2_bin_21_modified,MAG_89
raw-080913-2_bin_22_modified,MAG_90
raw-080913-2_bin_23_modified,MAG_91
raw-080913-2_bin_26_modified,MAG_92
raw-080913-2_bin_27_modified,MAG_93
raw-080913-2_bin_30_modified,MAG_94
raw-080913-2_bin_32_modified,MAG_95
raw-080913-2_bin_33_modified,MAG_96
raw-080913-2_bin_35_modified,MAG_97
raw-080913-2_bin_36_modified,MAG_98
raw-080913-2_bin_37_modified,MAG_99
raw-080913-2_bin_38_modified,MAG_100
raw-080913-2_bin_3_modified,MAG_101
raw-080913-2_bin_40_modified,MAG_102
raw-080913-2_bin_41_modified,MAG_103
raw-080913-2_bin_42_modified,MAG_104
raw-080913-2_bin_43_modified,MAG_105
raw-080913-2_bin_44_modified,MAG_106
raw-080913-2_bin_45_modified,MAG_107
raw-080913-2_bin_46_modified,MAG_108
raw-080913-2_bin_47_modified,MAG_109
raw-080913-2_bin_49_modified,MAG_110
raw-080913-2_bin_50_modified,MAG_111
raw-080913-2_bin_51_modified,MAG_112
raw-080913-2_bin_52_modified,MAG_113
raw-080913-2_bin_54_modified,MAG_114
raw-080913-2_bin_57_modified,MAG_115
raw-080913-2_bin_58_modified,MAG_116
raw-080913-2_bin_60_modified,MAG_117
raw-080913-2_bin_61_modified,MAG_118
raw-080913-2_bin_63_modified,MAG_119
raw-080913-2_bin_64_modified,MAG_120
raw-080913-2_bin_65_modified,MAG_121
raw-080913-2_bin_66_modified,MAG_122
raw-080913-2_bin_69_modified,MAG_123
raw-080913-2_bin_6_modified,MAG_124
raw-080913-2_bin_70_modified,MAG_125
raw-080913-2_bin_71_modified,MAG_126
raw-080913-2_bin_74_modified,MAG_127
raw-080913-2_bin_75_modified,MAG_128
raw-080913-2_bin_77_modified,MAG_129
raw-080913-2_bin_78_modified,MAG_130
raw-080913-2_bin_80_modified,MAG_131
raw-080913-2_bin_81_modified,MAG_132
raw-080913-2_bin_82_modified,MAG_133
raw-080913-2_bin_84_modified,MAG_134
raw-080913-2_bin_85_modified,MAG_135
raw-080913-2_bin_86_modified,MAG_136
raw-080913-2_bin_88_modified,MAG_137
raw-080913-2_bin_89_modified,MAG_138
raw-080913-2_bin_90_modified,MAG_139
raw-080913-2_bin_93_modified,MAG_140
raw-080913-2_bin_95_modified,MAG_141
raw-080913-2_bin_97_modified,MAG_142
raw-080913-2_bin_99_modified,MAG_143
raw-080913-2_rerun_bin_100_modified,MAG_144
raw-080913-2_rerun_bin_103_modified,MAG_145
raw-080913-2_rerun_bin_105_modified,MAG_146
raw-080913-2_rerun_bin_111_modified,MAG_147
raw-080913-2_rerun_bin_115_modified,MAG_148
raw-080913-2_rerun_bin_17_modified,MAG_149
raw-080913-2_rerun_bin_19_modified,MAG_150
raw-080913-2_rerun_bin_25_modified,MAG_151
raw-080913-2_rerun_bin_29_modified,MAG_152
raw-080913-2_rerun_bin_31_modified,MAG_153
raw-080913-2_rerun_bin_34_modified,MAG_154
raw-080913-2_rerun_bin_39_modified,MAG_155
raw-080913-2_rerun_bin_52_modified,MAG_156
raw-080913-2_rerun_bin_54_modified,MAG_157
raw-080913-2_rerun_bin_55_modified,MAG_158
raw-080913-2_rerun_bin_56_modified,MAG_159
raw-080913-2_rerun_bin_59_modified,MAG_160
raw-080913-2_rerun_bin_5_modified,MAG_161
raw-080913-2_rerun_bin_64_modified,MAG_162
raw-080913-2_rerun_bin_71_modified,MAG_163
raw-080913-2_rerun_bin_72_modified,MAG_164
raw-080913-2_rerun_bin_75_modified,MAG_165
raw-080913-2_rerun_bin_77_modified,MAG_166
raw-080913-2_rerun_bin_79_modified,MAG_167
raw-080913-2_rerun_bin_86_modified,MAG_168
raw-080913-2_rerun_bin_8_modified,MAG_169
raw-080913-2_rerun_bin_92_modified,MAG_170
raw-080913-2_rerun_bin_94_modified,MAG_171
raw-080913-8-1-ph_bin_13_modified,MAG_172
raw-080913-8-1-ph_bin_15_modified,MAG_173
raw-080913-8-1-ph_bin_16_modified,MAG_174
raw-080913-8-1-ph_bin_17_modified,MAG_175
raw-080913-8-1-ph_bin_20_modified,MAG_176
raw-080913-8-1-ph_bin_21_modified,MAG_177
raw-080913-8-1-ph_bin_22_modified,MAG_178
raw-080913-8-1-ph_bin_23_modified,MAG_179
raw-080913-8-1-ph_bin_26_modified,MAG_180
raw-080913-8-1-ph_bin_28_modified,MAG_181
raw-080913-8-1-ph_bin_29_modified,MAG_182
raw-080913-8-1-ph_bin_31_modified,MAG_183
raw-080913-8-1-ph_bin_33_modified,MAG_184
raw-080913-8-1-ph_bin_38_modified,MAG_185
raw-080913-8-1-ph_bin_39_modified,MAG_186
raw-080913-8-1-ph_bin_3_modified,MAG_187
raw-080913-8-1-ph_bin_40_modified,MAG_188
raw-080913-8-1-ph_bin_43_modified,MAG_189
raw-080913-8-1-ph_bin_44_modified,MAG_190
raw-080913-8-1-ph_bin_45_modified,MAG_191
raw-080913-8-1-ph_bin_47_modified,MAG_192
raw-080913-8-1-ph_bin_48_modified,MAG_193
raw-080913-8-1-ph_bin_50_modified,MAG_194
raw-080913-8-1-ph_bin_55_modified,MAG_195
raw-080913-8-1-ph_bin_57_modified,MAG_196
raw-080913-8-1-ph_bin_5_modified,MAG_197
raw-080913-8-1-ph_bin_60_modified,MAG_198
raw-080913-8-1-ph_bin_63_modified,MAG_199
raw-080913-8-1-ph_bin_64_modified,MAG_200
raw-080913-8-1-ph_bin_65_modified,MAG_201
raw-080913-8-1-ph_bin_66_modified,MAG_202
raw-080913-8-1-ph_bin_67_modified,MAG_203
raw-080913-8-1-ph_bin_6_modified,MAG_204
raw-080913-8-1-ph_bin_77_modified,MAG_205
raw-080913-8-1-ph_bin_7_modified,MAG_206
raw-080913-8-1-ph_bin_8_modified,MAG_207
raw-080913-8-1-ph_bin_9_modified,MAG_208
raw-080913-8-1-ph_rerun_bin_12_modified,MAG_209
raw-080913-8-1-ph_rerun_bin_13_modified,MAG_210
raw-080913-8-1-ph_rerun_bin_17_modified,MAG_211
raw-080913-8-1-ph_rerun_bin_19_modified,MAG_212
raw-080913-8-1-ph_rerun_bin_1_modified,MAG_213
raw-080913-8-1-ph_rerun_bin_20_modified,MAG_214
raw-080913-8-1-ph_rerun_bin_24_modified,MAG_215
raw-080913-8-1-ph_rerun_bin_25_modified,MAG_216
raw-080913-8-1-ph_rerun_bin_26_modified,MAG_217
raw-080913-8-1-ph_rerun_bin_31_modified,MAG_218
raw-080913-8-1-ph_rerun_bin_32_modified,MAG_219
raw-080913-8-1-ph_rerun_bin_34_modified,MAG_220
raw-080913-8-1-ph_rerun_bin_36_modified,MAG_221
raw-080913-8-1-ph_rerun_bin_37_modified,MAG_222
raw-080913-8-1-ph_rerun_bin_39_modified,MAG_223
raw-080913-8-1-ph_rerun_bin_40_modified,MAG_224
raw-080913-8-1-ph_rerun_bin_41_modified,MAG_225
raw-080913-8-1-ph_rerun_bin_45_modified,MAG_226
raw-080913-8-1-ph_rerun_bin_49_modified,MAG_227
raw-080913-8-1-ph_rerun_bin_4_modified,MAG_228
raw-080913-8-1-ph_rerun_bin_52_modified,MAG_229
raw-080913-8-1-ph_rerun_bin_53_modified,MAG_230
raw-080913-8-1-ph_rerun_bin_55_modified,MAG_231
raw-080913-8-1-ph_rerun_bin_57_modified,MAG_232
raw-080913-8-1-ph_rerun_bin_60_modified,MAG_233
raw-080913-8-1-ph_rerun_bin_61_modified,MAG_234
raw-080913-8-1-ph_rerun_bin_63_modified,MAG_235
raw-080913-8-1-ph_rerun_bin_70_modified,MAG_236
raw-080913-8-1-ph_rerun_bin_71_modified,MAG_237
raw-080913-8-1-ph_rerun_bin_72_modified,MAG_238
raw-080913-8-1-ph_rerun_bin_73_modified,MAG_239
